,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(귀가),[개] 푸들,암컷,,갈색,2017,3.5,대구-수성-2020-00976,2020-12-001~2020-12-11,마루동물병원앞 도로,"교통사고,우측 선회",제니스동물병원,대구광역시 수성구청
1,완료(입양),[개] 푸들,수컷,1.0,갈,2018,4.8,대구-달성-2020-01010,2020-12-001~2020-12-11,다사읍 서재리 서동초등학교 앞,마이크로칩 없음,119동물병원,대구광역시 달성군청
2,보호중,[개] 푸들,수컷,0.0,흰,2020,3,광주-북구-2020-01169,2020-72-001~2020-12-11,북구 운암동,20-1679 호호,광주 동물보호소,광주광역시 북구청
3,완료(입양),[개] 푸들,암컷,0.0,검정,2017,2017,울산-남구-2020-00921,2020-12-001~2020-12-11,돋질로 157번길 인근,"순하고 착함, 건강양호.",강남동물병원,울산광역시 남구청
4,완료(입양),[개] 푸들,수컷,,"검은색, 크림색",2017,,경기-용인-2020-00883,2020-12-01~2020-12-11,처인구 이동읍 서리 황토방 건너편 도로,"터치에 예민한 아이, 양전한 편",용인시 동물보호센터,경기도 용인시청
5,완료(입양),[개] 푸들,암컷,,검정,2015,4.63,경기-파주-2020-00699,2020-12-01~2020-12-11,교하동 교하정근처 부대도로변,"미용되어있음,5살추정",나은동물병원,경기도 파주시청
6,완료(입양),[개] 푸들,수컷,1.0,갈색,2015,5,전남-무안-2020-00451,2020-12-01~2020-12-11,청계면 태봉4차선도로,"뒷다리 피부병있음, 잘따름",유기동물보호소,전라남도 무안군청
7,완료(입양),[개] 푸들,암컷,,흰,2015,6,서울-강서-2020-00238,2020-72-002~2020-12-ㄱ14,공항동 성당 앞,눈곱.코갈색.양귀/꼬리끝털더길.사람좋아함.활발함.꼬리단미,한국동물구조관리협회,서울특별시 강서구청
8,완료(입양),[개] 푸들,수컷,0.0,갈,2020,3.4,경기-양주-2020-00671,2020-72-002~2020-12-ㄱ14,율정동 131-1 인근,양눈눈곱약간.코갈색.양위송곳니유치남음.겁약간.사람좋아,한국동물구조관리협회,경기도 양주시청
9,종료(자연사),[개] 푸들,,,,,,전남-나주-2020-00525,2020-72-002 ~2020-12-ㄱ14,나주시 등수길 86-12,까칠함,빚고을애견,전라남도 나주시청
10,완료(입양),[개] 푸들,수컷,0.0,검,2017,2017,서울-중랑-2020-00245,2020-12-003 ~2020-12-23,망우로 353 엔터식스 상봉점 인근,슈나우저 혼종인듯. 전신미용돼있음. 사람따름/언함. 꼬리,한국동물구조관리협회,서울특별시 중랑구청
