,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(귀가),[개] 푸들,암컷,0.0,갈,2018,4.2,서울-양천-2021-00035,2021-04,목동문화센터앞도로변 (다음4-1),치석약간있으며미용되어있고온순하며잘따르고회색옷입고있,강현림동물병원,서울특별시 양천구정
1,완료(귀가),[개] 푸들,암컷,0.0,검정색,2015,7.0,인천-계양-2021-00120,2021-04-01~2021-04-12,계산동 440동물병원,입주변 흰색변색,신영재동물병원,인천광역시 계양구정
2,완료(입양),[개] 푸들,암컷,0.0,갈색,2013,4.0,인천-계양-2021-00121,2021-04-01~2021-04-12,계산동 신동양아파트,"꼬리 단미안됨,많이 음",신영재동물병원,인천광역시 계양구청
3,완료(입양),[개] 푸들,수컷,0.0,흰,2016,8,광주-북구-2021-00154,2021-04001 ~2021-04-12,북구 매곡동,21-0377 신라,광주 동물보호소,광주광역시 북구청
4,완료(귀가),[개] 푸들,수컷,0.0,갈색,2013,4.6,충남-서산-2021-00152,2021-04-,서산시 문화회관 부근,보라색 목줄과 리드줄 착용.( 부준2로)표지판에 묶여져 있었,성심동물의료센터,충청남도 서산시청
5,종료(안락사),[개] 푸들,암컷,0.0,문성 서희힐스아파트부근,2019,16,경북-구미-2021-00712,2021-04-,문성 서희힐스아파트부근,큰덩치에귀여운외모지능을더러갖춘친구사람을잘따르고경계,구미시 동물보호센터,경상북도 구미시청
6,완료(귀가),[개] 푸들,수컷,0.0,갈색,2011,4.7,경남-창원1-2021-00150,2021-04-01~2021-04-10,의창구 상남동 토월성원아파트 103동 10층 복도,|<4-1-4 갈색. 오른쪽눈 백내장. 눈을 가리는 털. 내장칩등록,창원유기동물보호소,경상남도 창원시 의창성산구청
7,완료(귀가),[개] 푸들,암컷,,갈,2019,2.8,서울-서대문-2021-00023,2021-04002 ~2021-04-ㄱ12,홍은동 11-854 홍은119안전센터 인근,코검정.귀털길게미용/꼬리길게단미.소심/겁있음/천천히 접근,한국동물구조관리협회,서울특별시 서대문구청
8,종료(안락사),[개] 푸들,수컷,1.0,검정색,2018,6.7,경기-남양주-2021-00394,2021-04-02~2021-004ㄱ72,별내 아이파크2차,갈색 가죽목줄착용,남양주동물보호협회,경기도 남양주시청
9,완료(입양),[개] 푸들,수컷,,연한갈색,2016,5.0,경남-양산-2021-00051,2021-04(02 ~2021-04-12,상북면홍룡사주차장,연한갈색,양산시유기동물보호소,경상남도 양산시청
10,완료(입양),[개] 푸들,수컷,0.0,노랑,2016,5,경남-창녕-2021-00230,2021-04-02 ~2021-04-12,창녕읍 하리,최근 유기 된듯함 친숙함,창녕 유기동물보호소,경상남도 창녕군청
11,완료(귀가),[개] 푸들,수컷,1.0,흰색,2008,2,대구-북구-2021-00059,2021-04-002 ~2021-04-12,동천 지구대,"백내장, 치아상태 불량, 노령견",대구유기동물보호센터,대구광역시 북구청
12,완료(귀가),[개] 푸들,암컷,0.0,갈색,2013,3.90,울산-남구-2021-00099,2021-04-02~2021-04ㄱ72,백합초등학교내,내성적성격이며 치석많음.,강남동물병원,울산광역시 남구청
13,완료(입양),[개] 푸들,수컷,1.0,갈,2017,6.4,경기-시흥-2021-00204,2021-04-02~2021-04-14,정왕동1212-14 부근,순함. 주황하네스. 주황끈. 칩있음. 이름 바비.,한국야생동물보호협회,경기도 시흥시청
