,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(입양),[개] 사모예드,암컷,,흰색,2020,8,서울-마포-2021-00057',2021-05-04~2021-05-14,"중구,마포구 경계 만리재고개",3개월추정/활발함,홍익동물병원,서울특별시 마포구청
1,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2009,2.6,서울-관악-2021-00174,2021-05-04~2021-05-14,건영아파트주변,"노령견,백내장추정,집있음",러브펫종합동물병원,서울특별시 관악구정
2,완료(귀가),[개] 닥스훈트,수컷,0.0,"검정,갈색",2018,6.3,서울-강동-2021-00077,2021-05-04~2021-05-14,천호동 185-5,"청진상태 양호, 잠복고환 있음, 치석 조금 있음",강동리본센터,서울특별시 강동구정
3,보호중,[개] 믹스견,암컷,0.0,갈색,2019,4.5,부산-남구-2021-00078,2021-05-04~2021-05-14,대연동 산1-7주변,"들개서식지에서 포획, 사나움",누리동물병원,부산광역시 남구청
4,보호중,[개] 믹스견,수컷,0.0,흰색,2019,10,부산-기장-2021-00143,2021-0504~2021-05ㄱ74,정관읍 산단7로 99-48 부근,"매우 순함, 사람을 잘 따름",누리동물병원,부산광역시 기장군정
5,보호중,[개] 믹스견,암컷,,갈색,2018,9,대구-남구-2021-00062,2021-05-04~2021-05-14,두류공원로 19길 47,.,대구유기동물보호센터,대구광역시 남구청
6,완료(귀가),[개] 그레이트 피레니즈,수컷,1.0,흰색,2018,30,대구-남구-2021-00063,2021-05-04~2021-05-14,관제탑 부근,"전체 가위 미용, 빨간목줄",대구유기동물보호센터,대구광역시 남구청
7,보호중,[개] 믹스견,암컷,0.0,검정색,2021,2021,인천-중구-2021-00194,2021-05-04~2021-05-14,영종역인근,생후15일추정 3마리함께구조,신공항동물병원,인천광역시 중구청
8,보호중,[개] 믹스견,암컷,0.0,크림색,2021,1.47,인천-중구-2021-00195,2021-05-04~2021-05-14,영종역인근,생후15일추정 3마리함께구조,신공항동물병원,인천광역시 중구청
9,보호중,[개] 믹스견,수컷,0.0,검정,2021,1.51,인천-중구-2021-00196,2021-05-04~2021-05-14,영종역인근,생후15일추정 3마리함께구조,신공항동물병원,인천광역시 중구청
10,완료(귀가),[개] 시츄,암컷,1.0,"흰,갈",2009,4,광주-서구-2021-00185,2021-05-04~2021-05-14,서구 농성동,21-0527 상냥,광주 동물보호소,광주광역시 서구청
11,완료(귀가),[개] 말티즈,수컷,1.0,흰,2016,5,광주-남구-2021-00120,2021-05-04~2021-05-14,남구 봉선동,21-0522몽,광주 동물보호소,광주광역시 남구청
12,완료(귀가),[개] 믹스견,암컷,,"갈,흰",2013,10,광주-남구-2021-00121,2021-05-04~2021-05-14,남구 주월동,21-0524금글,광주 동물보호소,광주광역시 남구청
13,보호중,[개] 믹스견,암컷,0.0,"갈,검",2021,3,광주-북구-2021-00263,2021-005-04~2021-05-ㄱ74,북구 두암동,21-0523 애정,광주 동물보호소,광주광역시 북구청
14,완료(귀가),[개] 시츄,수컷,0.0,"흰,갈",2020,5,광주-북구-2021-00268,2021-05-04~2021-05-14,북구 용두동,21-0525 통이,광주 동물보호소,광주광역시 북구청
15,완료(입양),[개] 말티즈,암컷,,흰,2017,2.5,광주-북구-2021-00269,2021-05-004~2021-05-14,북구 오치동,21-0526 티티,광주 동물보호소,광주광역시 북구청
16,완료(귀가),[개] 포메라니안,암컷,,백,2016,4,대전-대덕-2021-00097,2021-05-04~2021-05-14,대전광역시 대덕구 상서동 49-1번지 주변,상태불량,대전동물보호센터,대전광역시 대덕구청
17,완료(귀가),[개] 말티즈,암컷,,흰색,2015,5.1,울산-남구-2021-00187,2021-0504~2021-05-ㄱ74,,버스정류장 앞에서 발견됨,사랑동물병원,울산광역시 남구청
18,완료(귀가),[개] 시츄,암컷,0.0,"흰색,갈색",2021,2.3,울산-남구-2021-00193,2021-05-04~2021-05-14,팔등로60,온순함,미래펫동물병원,울산광역시 남구청
19,완료(입양),[개] 믹스견,암컷,0.0,갈백,2016,5.8,경기-수원-2021-00227',2021-05-04~2021-05-14,팔달구 화서문교차로,연두색 목줄 착용,수원시 동물보호센터,경기도 수원시청
20,완료(입양),[개] 믹스견,수컷,0.0,검백,2021,7.5,경기-수원-2021-00228,2021-05-04~2021-05-ㄱ74,팔달구 팔달문로115번길 5(지동행정복지센터),빨간줄로 묶여있었으나 풀리지많아 제거,수원시 동물보호센터,경기도 수원시청
21,보호중,[개] 믹스견,수컷,1.0,백검갈,2020,7.3,경기-수원-2021-00229,2021-05-04~2021-005-ㄱ74,영통구 매탄로126번길 11(매탄고등학교 후문),테리어믹스 추정,수원시 동물보호센터,경기도 수원시청
22,완료(귀가),[개] 시츄믹스,수컷,0.0,백갈,2018,,경기-성남-2021-00232,2021-05-04~2021-05-14,미래동물의료센터,아래턱 돌출,펫토피아동물병원,경기도 성남시청
23,완료(귀가),[개] 치와와,수컷,1.0,"흰,검",2020,4.0,경기-부천-2021-00254,2021-05-04~2021-05-14,원종사거리,"꿀벌하네스착용,칩있는치와와랑 같이발견,보호자연락중",24시아이동물메디컬,경기도 부천시청
24,종료(자연사),[개] 말티즈,수컷,0.0,흰색,2018,3.8,경기-평택-2021-00813,2021-05-04~2021-05-14,안중 파출소,외봉,평택시유기동물보호소,경기도 평택시청
25,보호중,[개] 믹스견,암컷,0.0,흰색,2019,11,경기-평택-2021-00814,2021-05-04~2021-05-14,부락산 공원,"피부병, 초록색목줄착용",평택시유기동물보호소,경기도 평택시청
26,보호중,[개] 시베리안 허스키,수컷,0.0,검정,2018,20,경기-평택-2021-00815,2021-05-04~2021-05-14,안중 119,사람을 잘 따름,평택시유기동물보호소,경기도 평택시청
27,보호중,[개] 믹스견,암컷,,갈색,2016,,경기-오산-2021-00073,2021-05-04~2021-05-14,초코렛모텔부근,들개 포획,오산시수의사회,경기도 오산시청
28,완료(귀가),[개] 보더 콜리,암컷,,흑백,2019,25,경기-시흥-2021-00276,2021-05-04~2021-05-17,시흥소방서에서 인수,칩있음. 순함.,한국야생동물보호협회,경기도 시흥시청
29,보호중,[개] 믹스견,암컷,,갈흑백,2021,12,경기-시흥-2021-00277,2021-05-04~2021-0577,시흥시농업기술센터에서 인수,나이미상. 안질환. 경계심있음. 파란목줄.,한국야생동물보호협회,: 경기도 시흥시청
30,보호중,[개] 믹스견,수컷,1.0,백,2020,15,경기-의왕-2021-00048,2021-05-04~2021-05-14,의왕시 이동 299-2,"파란눈. 소심함, 전체미용.",한국야생동물보호협회,경기도 의왕시청
31,보호중,[개] 진도견,암컷,0.0,블랙탄,2020,12.00,경기-이천-2021-00232,2021-05-04~2021-05-14,장호원읍 풍계리,으로 인한 우측 후지 자상으로 인한 덧제거및 피부봉합,위더스 동물보호센터,경기도 이천시청
32,완료(귀가),[개] 삽살개,암컷,0.0,흰색,2020,27.00,경기-이천-2021-00237,2021-05-04~2021-05-14,안흥동 안흥초등학교 부근,온순함,위더스 동물보호센터,경기도 이천시청
